Country,FIPS_CODE,Landscan_states
Abia,NGA-ABI,Abia
Adamawa,NGA-ADM,Adamawa
Akwa Ibom,NGA-AKI,Akwa Ibom
Anambra,NGA-ANM,Anambra
Bauchi,NGA-BAU,Bauchi
Bayelsa,NGA-BAY,Bayelsa
Benue,NGA-BEN,Benue
Borno,NGA-BOR,Borno
Cross River,NGA-CRI,Cross River
Delta,NGA-DEL,Delta
Ebonyi,NGA-EBO,Ebonyi
Edo,NGA-EDO,Edo
Ekiti,NGA-EKI,Ekiti
Enugu,NGA-ENU,Enugu
Abuja-FCT,NGA-FCT,Federal Capital Territory
Gombe,NGA-GOM,Gombe
Imo,NGA-IMO,Imo
Jigawa,NGA-JIG,Jigawa
Kaduna,NGA-KAD,Kaduna
Kano,NGA-KAN,Kano
Katsina,NGA-KAT,Katsina
Kebbi,NGA-KEB,Kebbi
Kogi,NGA-KOG,Kogi
Kwara,NGA-KWA,Kwara
Lagos,NGA-LAG,Lagos
Nasarawa,NGA-NAS,Nassarawa
Niger State,NGA-NIG,Niger
Ogun,NGA-OGU,Ogun
Ondo,NGA-OND,Ondo
Osun,NGA-OSU,Osun
Oyo,NGA-OYO,Oyo
Plateau,NGA-PLA,Plateau
Rivers,NGA-RVR,Rivers
Sokoto,NGA-SOK,Sokoto
Taraba,NGA-TAR,Taraba
Yobe,NGA-YOB,Yobe
Zamfara,NGA-ZAM,Zamfara
