,count,min,max,sum,median,percentile_25,percentile_75,mean,pop_type
Abia,5522,0.0,35650.0,3571043.0,84.0,1.0,645.0,646.6937703730532,Landscan
Adamawa,39846,0.0,19328.0,3652464.0,1.0,0.0,33.0,91.66450835717512,Landscan
Akwa Ibom,7767,0.0,35859.0,5005412.0,189.0,1.0,593.0,644.4459894425132,Landscan
Anambra,5538,0.0,40335.0,5181693.0,81.0,1.0,988.75,935.6614301191765,Landscan
Bauchi,58374,0.0,28698.0,6474409.0,16.0,1.0,80.0,110.91254668174187,Landscan
Bayelsa,11546,0.0,55403.0,1977237.0,1.0,0.0,5.0,171.2486575437381,Landscan
Benue,37109,0.0,20818.0,5470805.0,49.0,1.0,129.0,147.42528766606483,Landscan
Borno,84903,0.0,28187.0,5773098.0,0.0,0.0,1.0,67.99639588707113,Landscan
Cross River,24686,0.0,38964.0,3722974.0,1.0,0.0,5.0,150.81317345864053,Landscan
Delta,19077,0.0,31483.0,5183856.0,1.0,0.0,13.0,271.73329139801854,Landscan
Ebonyi,7291,0.0,16297.0,2671502.0,152.0,49.5,359.0,366.41091756960634,Landscan
Edo,23288,0.0,15521.0,4153255.0,0.0,0.0,1.0,178.34313809687393,Landscan
Ekiti,6155,0.0,58568.0,2888473.0,1.0,1.0,86.0,469.2888708367181,Landscan
Enugu,9061,0.0,53674.0,4189057.0,51.0,1.0,396.0,462.3172938969209,Landscan
Federal Capital Territory,8667,0.0,34311.0,3302704.0,1.0,1.0,76.0,381.06657436252453,Landscan
Gombe,21618,0.0,28122.0,3180212.0,1.0,1.0,63.0,147.1094458321769,Landscan
Imo,6219,0.0,18230.0,5077444.0,265.0,1.0,1191.5,816.4405853031034,Landscan
Jigawa,28730,0.0,36919.0,5474880.0,33.0,1.0,125.0,190.56317438217891,Landscan
Kaduna,52920,0.0,28872.0,7631648.0,1.0,0.0,64.0,144.21103552532125,Landscan
Kano,23980,0.0,45135.0,11946175.0,109.0,1.0,317.0,498.17243536280233,Landscan
Katsina,28642,0.0,42042.0,7365181.0,70.0,0.0,181.0,257.1461839257035,Landscan
Kebbi,43383,0.0,28030.0,4626135.0,1.0,0.0,15.0,106.63474171910656,Landscan
Kogi,34284,0.0,68240.0,4221146.0,1.0,0.0,2.0,123.12291447905729,Landscan
Kwara,42271,0.0,31705.0,3140432.0,1.0,0.0,13.0,74.29282486811289,Landscan
Lagos,4068,0.0,93630.0,17425804.0,95.0,0.0,3172.0,4283.62930186824,Landscan
Nassarawa,30915,0.0,16494.0,2651654.0,1.0,0.0,28.0,85.77240821607634,Landscan
Niger,83705,0.0,24944.0,5029184.0,1.0,0.0,22.0,60.082241204229135,Landscan
Ogun,19105,0.0,23827.0,5549327.0,1.0,0.0,62.0,290.4646427636744,Landscan
Ondo,17104,0.0,47932.0,3947923.0,1.0,0.0,38.0,230.81869738072965,Landscan
Osun,10884,0.0,60757.0,4712504.0,13.0,1.0,129.0,432.97537669974275,Landscan
Oyo,32478,0.0,77270.0,7208711.0,1.0,1.0,51.0,221.9567399470411,Landscan
Plateau,32675,0.0,13557.0,4061522.0,11.0,0.0,78.0,124.30059678653404,Landscan
Rivers,9862,0.0,110562.0,6262745.0,1.0,0.0,106.75,635.0380247414317,Landscan
Sokoto,37659,0.0,27561.0,5182086.0,1.0,0.0,2.0,137.6055126264638,Landscan
Taraba,71387,0.0,9285.0,3002257.0,0.0,0.0,15.0,42.056074635437824,Landscan
Yobe,54999,0.0,46152.0,3738657.0,1.0,0.0,11.0,67.97681776032292,Landscan
Zamfara,41101,0.0,20494.0,3996091.0,1.0,0.0,34.0,97.22612588501497,Landscan
